"scientificName","indval_EN","indval_other","pvalue"
"Grallaria.ruficapilla",0.988047528650777,0.00623607200829031,0.001
"Diglossa.cyanea",0.98062015503876,0.00758341759352882,0.001
"Ciccaba.albitarsis",0.976724301729052,0.0131558294574924,0.001
"Chordeiles.minor",0.918894562931811,0.0387895568586989,0.001
"Bubo.virginianus",0.896440129449838,0.0990572674827635,0.003
"Myiothlypis.nigrocristata",0.821374918354017,0.075966262459887,0.01
"Scytalopus.griseicollis",0.797557997557998,0.000265435048043744,0.001
"Elaenia.frantzii",0.762540924999059,0.206486152174731,0.031
"Atlapetes.schistaceus",0.758087487283825,0.0342783847140519,0.001
"Mecocerculus.leucophrys",0.73278935475772,0.113089325284634,0.013
"Coccyzus.americanus",0.686729857819905,0.133937770451267,0.012
"Anisognathus.lacrymosus",0.66063829787234,0.150323774283071,0.023
"Ciccaba.virgata",0.641516709511568,0.0217950150888566,0.002
"Atlapetes.pallidinucha",0.618550020251114,0.118336943314491,0.029
"Metallura.tyrianthina",0.610204081632653,0.0223095449359868,0.006
"Aulacorhynchus.haematopygus",0.6,0,0.001
"Scytalopus.spillmanni",0.59679658302189,0.000232131665080434,0.001
"Grallaria.quitensis",0.595294117647059,0.000341005967604433,0.002
"Myiothlypis.fulvicauda",0.587829614604462,0.000881911985183878,0.003
"Accipiter.striatus",0.584408084696824,0.105452567267858,0.028
"Setophaga.fusca",0.562382445141066,0.00545181954477307,0.006
"Catharus.minimus",0.521773142112125,0.0453489031234057,0.034
"Myiothlypis.luteoviridis",0.5,0,0.001
"Setophaga.castanea",0.5,0,0.003
"Formicivora.grisea",0.46141975308642,0.013419216317767,0.013
"Gampsonyx.swainsonii",0.443729903536977,0.0244652593317489,0.027
"Turdus.fulviventris",0.4,0,0.006
"Pipreola.riefferii",0.4,0,0.005
"Cardellina.canadensis",0.4,0,0.009
"Dendrocincla.tyrannina",0.396172248803828,0.000416059912627418,0.011
"Sporophila.schistacea",0.39002493765586,0.0010842459069717,0.003
"Nyctibius.griseus",0.384095427435388,0.00345751577491572,0.009
"Heliornis.fulica",0.36078431372549,0.00426257459505541,0.025
"Grallaria.nuchalis",0.352153110047847,0.0104014978156855,0.021
"Acropternis.orthonyx",0.351388888888889,0.0211352657004831,0.042
"Atlapetes.albinucha",0.311253561253561,0.0164127338040382,0.035
"Megascops.ingens",0.3,0,0.021
"Scytalopus.atratus",0.3,0,0.022
"Phyllomyias.nigrocapillus",0.3,0,0.024
"Myiodynastes.chrysocephalus",0.296774193548387,0.0224403927068724,0.05
"Numenius.phaeopus",0.163574196489628,0.795532254387964,0.03
"Nycticorax.nycticorax",0.151565074135091,0.848434925864909,0.004
"Contopus.virens",0.0896302875541246,0.900410791606528,0.001
"Spinus.psaltria",0.0496544461265056,0.937931942341868,0.001
"Contopus.sordidulus",0.0435480551553818,0.813640308884455,0.002
"Spinus.magellanicus",0.0395038167938931,0.6418021905078,0.04
"Zonotrichia.capensis",0.0341390371900474,0.915703325098856,0.001
"Tiaris.olivaceus",0.0310810810810811,0.550822561692127,0.019
"Zenaida.auriculata",0.0250425314732902,0.733612438421823,0.005
"Legatus.leucophaius",0.019327731092437,0.549872122762148,0.033
"Diglossa.humeralis",0.0150819672131148,0.723592302209551,0.003
"Tyrannus.dominicensis",0.0136904761904762,0.562888198757764,0.015
"Tyrannus.tyrannus",0.0126721763085399,0.692298478859744,0.002
"Thraupis.episcopus",0.0111470113085622,0.540844278991361,0.034
"Tapera.naevia",0.00874524714828897,0.555463713010415,0.022
"Hydropsalis.cayennensis",0.00708055413032324,0.796841189461708,0.002
"Tyrannus.melancholicus",0.00668302447213792,0.943736822748953,0.001
"Pygochelidon.cyanoleuca",0.00556900726392252,0.492683440362143,0.025
"Buteo.platypterus",0.00519187358916479,0.659534792423201,0.018
"Myiozetetes.cayanensis",0.00496760259179266,0.53713963752465,0.025
"Chrysomus.icterocephalus",0.00357698289269051,0.503076610994658,0.032
"Todirostrum.cinereum",0.00341753343239227,0.671878028296402,0.005
"Euphonia.chlorotica",0.00331890331890332,0.714599410251584,0.003
"Gallinula.galeata",0.00274135876042908,0.686117013007203,0.016
"Colibri.coruscans",0.00244635360143201,0.952621755128152,0.001
"Diglossa.sittoides",0.00210719193770041,0.516242107988608,0.04
"Colibri.cyanotus",0.00145375377484374,0.735548722583718,0.017
"Vanellus.chilensis",0.000428664616531544,0.865837698986682,0.001
"Sturnella.magna",0.000201701306673682,0.867811292985446,0.001
"Buteo.brachyurus",0,0.565217391304348,0.011
"Camptostoma.obsoletum",0,0.91304347826087,0.001
"Chaetocercus.mulsant",0,0.478260869565217,0.032
"Colaptes.rivolii",0,0.521739130434783,0.022
"Dubusia.taeniata",0,0.478260869565217,0.014
"Empidonax.alnorum",0,0.782608695652174,0.001
"Forpus.conspicillatus",0,0.391304347826087,0.045
"Hirundo.rustica",0,0.652173913043478,0.003
"Nothocercus.julius",0,0.434782608695652,0.031
"Orochelidon.murina",0,0.739130434782609,0.002
"Sporophila.luctuosa",0,0.826086956521739,0.001
