deploymentID,biophony,anthropophony,geophony,silence,comments
PAH05,10,90,0,0,
PAH07,20,70,0,10,
PAH08,,,0,,
PAH104,,,0,,
PAH105,,,0,,
PAH107,,,0,,
PAH108,20,30,0,30,
PAH109,,,0,,
PAH11,,,0,,
PAH111,,,0,,
PAH112,,,0,,
PAH113,,,0,,
PAH14,,,0,,
PAH16,,,0,,
PAH20,30,40,0,30,
PAH203,,,0,,
PAH22,30,60,0,10,
PAH23,5,0,0,90,
PAH24,,,0,,
PAH27,,,0,,
PAH31,,,0,,
PAH450,,,0,,
PAH63,,,0,,
PAH74,20,75,0,5,
PAH75,20,75,0,5,frogs
PAH77,,,0,,
PAH79,,,0,,
PAH80,,,0,,
PAH83,,,0,,
PAH85,,,0,,
PAH86,20,75,0,5,
PAH88,50,40,0,10,
PAH93,30,70,0,0,
PAH96,30,70,0,5,
PAO202,5,0,0,90,
